NO MATCH: phishing_mails/0 -> similarity=531.00, yara_score=0.00, total=531.00
MATCH: phishing_mails/345 -> similarity=765.00, yara_score=0.00, total=765.00
MATCH: phishing_mails/346 -> similarity=1378.00, yara_score=0.00, total=1378.00
MATCH: phishing_mails/347 -> similarity=1404.00, yara_score=0.00, total=1404.00
MATCH: phishing_mails/348 -> similarity=781.00, yara_score=0.00, total=781.00
MATCH: phishing_mails/349 -> similarity=887.00, yara_score=0.00, total=887.00
NO MATCH: phishing_mails/350 -> similarity=579.00, yara_score=0.00, total=579.00
MATCH: phishing_mails/351 -> similarity=1721.00, yara_score=0.00, total=1721.00
MATCH: phishing_mails/352 -> similarity=1459.00, yara_score=0.00, total=1459.00
MATCH: phishing_mails/353 -> similarity=1033.00, yara_score=0.00, total=1033.00
MATCH: phishing_mails/354 -> similarity=855.00, yara_score=0.00, total=855.00
MATCH: phishing_mails/355 -> similarity=694.00, yara_score=0.00, total=694.00
MATCH: phishing_mails/356 -> similarity=2711.00, yara_score=0.00, total=2711.00
MATCH: phishing_mails/357 -> similarity=912.00, yara_score=0.00, total=912.00
MATCH: phishing_mails/358 -> similarity=753.00, yara_score=0.00, total=753.00
MATCH: phishing_mails/359 -> similarity=673.00, yara_score=0.00, total=673.00
MATCH: phishing_mails/360 -> similarity=709.00, yara_score=0.00, total=709.00
MATCH: phishing_mails/361 -> similarity=748.00, yara_score=0.00, total=748.00
MATCH: phishing_mails/362 -> similarity=964.00, yara_score=0.00, total=964.00
MATCH: phishing_mails/363 -> similarity=1180.00, yara_score=0.00, total=1180.00
MATCH: phishing_mails/364 -> similarity=834.00, yara_score=0.00, total=834.00
MATCH: phishing_mails/365 -> similarity=912.00, yara_score=0.00, total=912.00
NO MATCH: phishing_mails/366 -> similarity=599.00, yara_score=0.00, total=599.00
MATCH: phishing_mails/367 -> similarity=928.00, yara_score=0.00, total=928.00
MATCH: phishing_mails/368 -> similarity=1690.00, yara_score=0.00, total=1690.00
MATCH: phishing_mails/369 -> similarity=2033.00, yara_score=0.00, total=2033.00
NO MATCH: phishing_mails/370 -> similarity=517.00, yara_score=0.00, total=517.00
MATCH: phishing_mails/371 -> similarity=681.00, yara_score=0.00, total=681.00
MATCH: phishing_mails/372 -> similarity=882.00, yara_score=0.00, total=882.00
MATCH: phishing_mails/373 -> similarity=1105.00, yara_score=0.00, total=1105.00
MATCH: phishing_mails/374 -> similarity=992.00, yara_score=0.00, total=992.00
MATCH: phishing_mails/375 -> similarity=1224.00, yara_score=0.00, total=1224.00
MATCH: phishing_mails/376 -> similarity=1012.00, yara_score=0.00, total=1012.00
MATCH: phishing_mails/377 -> similarity=723.00, yara_score=0.00, total=723.00
NO MATCH: phishing_mails/378 -> similarity=406.00, yara_score=0.00, total=406.00
MATCH: phishing_mails/379 -> similarity=612.00, yara_score=0.00, total=612.00
MATCH: phishing_mails/380 -> similarity=702.00, yara_score=0.00, total=702.00
MATCH: phishing_mails/381 -> similarity=647.00, yara_score=0.00, total=647.00
MATCH: phishing_mails/382 -> similarity=700.00, yara_score=0.00, total=700.00
NO MATCH: phishing_mails/383 -> similarity=418.00, yara_score=0.00, total=418.00
MATCH: phishing_mails/384 -> similarity=957.00, yara_score=0.00, total=957.00
MATCH: phishing_mails/385 -> similarity=1527.00, yara_score=0.00, total=1527.00
MATCH: phishing_mails/386 -> similarity=1340.00, yara_score=0.00, total=1340.00
MATCH: phishing_mails/387 -> similarity=640.00, yara_score=0.00, total=640.00
MATCH: phishing_mails/388 -> similarity=2034.00, yara_score=0.00, total=2034.00
MATCH: phishing_mails/389 -> similarity=1360.00, yara_score=0.00, total=1360.00
MATCH: phishing_mails/390 -> similarity=15923.00, yara_score=0.00, total=15923.00
NO MATCH: phishing_mails/391 -> similarity=570.00, yara_score=0.00, total=570.00
MATCH: phishing_mails/392 -> similarity=1604.00, yara_score=0.00, total=1604.00
MATCH: phishing_mails/393 -> similarity=1602.00, yara_score=0.00, total=1602.00
MATCH: phishing_mails/394 -> similarity=22315.00, yara_score=0.00, total=22315.00
MATCH: phishing_mails/395 -> similarity=1618.00, yara_score=0.00, total=1618.00
NO MATCH: phishing_mails/396 -> similarity=277.00, yara_score=0.00, total=277.00
MATCH: phishing_mails/397 -> similarity=1073.00, yara_score=0.00, total=1073.00
MATCH: phishing_mails/398 -> similarity=1654.00, yara_score=0.00, total=1654.00
NO MATCH: phishing_mails/399 -> similarity=530.00, yara_score=0.00, total=530.00
NO MATCH: phishing_mails/400 -> similarity=493.00, yara_score=0.00, total=493.00
NO MATCH: phishing_mails/401 -> similarity=585.00, yara_score=0.00, total=585.00
NO MATCH: phishing_mails/402 -> similarity=296.00, yara_score=0.00, total=296.00
MATCH: phishing_mails/403 -> similarity=729.00, yara_score=0.00, total=729.00
MATCH: phishing_mails/404 -> similarity=1451.00, yara_score=0.00, total=1451.00
MATCH: phishing_mails/405 -> similarity=851.00, yara_score=0.00, total=851.00
NO MATCH: phishing_mails/406 -> similarity=424.00, yara_score=0.00, total=424.00
NO MATCH: phishing_mails/407 -> similarity=430.00, yara_score=0.00, total=430.00
NO MATCH: phishing_mails/408 -> similarity=552.00, yara_score=0.00, total=552.00
NO MATCH: phishing_mails/409 -> similarity=362.00, yara_score=0.00, total=362.00
NO MATCH: phishing_mails/410 -> similarity=317.00, yara_score=0.00, total=317.00
MATCH: phishing_mails/411 -> similarity=994.00, yara_score=0.00, total=994.00
NO MATCH: phishing_mails/412 -> similarity=554.00, yara_score=0.00, total=554.00
MATCH: phishing_mails/413 -> similarity=927.00, yara_score=0.00, total=927.00
MATCH: phishing_mails/414 -> similarity=4391.00, yara_score=0.00, total=4391.00
MATCH: phishing_mails/415 -> similarity=2005.00, yara_score=0.00, total=2005.00
MATCH: phishing_mails/416 -> similarity=1559.00, yara_score=0.00, total=1559.00
MATCH: phishing_mails/417 -> similarity=677.00, yara_score=0.00, total=677.00
MATCH: phishing_mails/418 -> similarity=876.00, yara_score=0.00, total=876.00
NO MATCH: phishing_mails/419 -> similarity=600.00, yara_score=0.00, total=600.00
MATCH: phishing_mails/420 -> similarity=1459.00, yara_score=0.00, total=1459.00
MATCH: phishing_mails/421 -> similarity=1458.00, yara_score=0.00, total=1458.00
NO MATCH: phishing_mails/422 -> similarity=519.00, yara_score=0.00, total=519.00
NO MATCH: phishing_mails/423 -> similarity=603.00, yara_score=0.00, total=603.00
MATCH: phishing_mails/424 -> similarity=845.00, yara_score=0.00, total=845.00
MATCH: phishing_mails/425 -> similarity=1993.00, yara_score=0.00, total=1993.00
MATCH: phishing_mails/426 -> similarity=1365.00, yara_score=0.00, total=1365.00
MATCH: phishing_mails/427 -> similarity=2547.00, yara_score=0.00, total=2547.00
MATCH: phishing_mails/428 -> similarity=1132.00, yara_score=0.00, total=1132.00
MATCH: phishing_mails/429 -> similarity=1000.00, yara_score=0.00, total=1000.00
NO MATCH: phishing_mails/430 -> similarity=566.00, yara_score=0.00, total=566.00
MATCH: phishing_mails/431 -> similarity=1850.00, yara_score=0.00, total=1850.00
NO MATCH: phishing_mails/432 -> similarity=295.00, yara_score=0.00, total=295.00
NO MATCH: phishing_mails/433 -> similarity=542.00, yara_score=0.00, total=542.00
MATCH: phishing_mails/434 -> similarity=1431.00, yara_score=0.00, total=1431.00
NO MATCH: phishing_mails/435 -> similarity=493.00, yara_score=0.00, total=493.00
NO MATCH: phishing_mails/436 -> similarity=516.00, yara_score=0.00, total=516.00
MATCH: phishing_mails/437 -> similarity=1531.00, yara_score=0.00, total=1531.00
NO MATCH: phishing_mails/438 -> similarity=476.00, yara_score=0.00, total=476.00
NO MATCH: phishing_mails/439 -> similarity=593.00, yara_score=0.00, total=593.00
MATCH: phishing_mails/440 -> similarity=1365.00, yara_score=0.00, total=1365.00
MATCH: phishing_mails/441 -> similarity=857.00, yara_score=0.00, total=857.00
NO MATCH: phishing_mails/442 -> similarity=478.00, yara_score=0.00, total=478.00
MATCH: phishing_mails/443 -> similarity=928.00, yara_score=0.00, total=928.00
NO MATCH: phishing_mails/444 -> similarity=591.00, yara_score=0.00, total=591.00
NO MATCH: phishing_mails/445 -> similarity=536.00, yara_score=0.00, total=536.00
NO MATCH: phishing_mails/446 -> similarity=340.00, yara_score=0.00, total=340.00
MATCH: phishing_mails/447 -> similarity=722.00, yara_score=0.00, total=722.00
NO MATCH: phishing_mails/448 -> similarity=545.00, yara_score=0.00, total=545.00
MATCH: phishing_mails/449 -> similarity=851.00, yara_score=0.00, total=851.00
MATCH: phishing_mails/450 -> similarity=1108.00, yara_score=0.00, total=1108.00
MATCH: phishing_mails/451 -> similarity=837.00, yara_score=0.00, total=837.00
MATCH: phishing_mails/452 -> similarity=923.00, yara_score=0.00, total=923.00
MATCH: phishing_mails/453 -> similarity=2441.00, yara_score=0.00, total=2441.00
MATCH: phishing_mails/454 -> similarity=817.00, yara_score=0.00, total=817.00
NO MATCH: phishing_mails/455 -> similarity=529.00, yara_score=0.00, total=529.00
NO MATCH: phishing_mails/456 -> similarity=382.00, yara_score=0.00, total=382.00
MATCH: phishing_mails/457 -> similarity=865.00, yara_score=0.00, total=865.00
MATCH: phishing_mails/458 -> similarity=1534.00, yara_score=0.00, total=1534.00
MATCH: phishing_mails/459 -> similarity=693.00, yara_score=0.00, total=693.00
MATCH: phishing_mails/460 -> similarity=1945.00, yara_score=0.00, total=1945.00
MATCH: phishing_mails/461 -> similarity=1993.00, yara_score=0.00, total=1993.00
MATCH: phishing_mails/462 -> similarity=975.00, yara_score=0.00, total=975.00
MATCH: phishing_mails/463 -> similarity=758.00, yara_score=0.00, total=758.00
MATCH: phishing_mails/464 -> similarity=843.00, yara_score=0.00, total=843.00
MATCH: phishing_mails/465 -> similarity=638.00, yara_score=0.00, total=638.00
MATCH: phishing_mails/466 -> similarity=619.00, yara_score=0.00, total=619.00
MATCH: phishing_mails/467 -> similarity=3520.00, yara_score=0.00, total=3520.00
MATCH: phishing_mails/468 -> similarity=1276.00, yara_score=0.00, total=1276.00
MATCH: phishing_mails/469 -> similarity=2342.00, yara_score=0.00, total=2342.00
NO MATCH: phishing_mails/470 -> similarity=328.00, yara_score=0.00, total=328.00
MATCH: phishing_mails/471 -> similarity=794.00, yara_score=0.00, total=794.00
MATCH: phishing_mails/472 -> similarity=1932.00, yara_score=0.00, total=1932.00
NO MATCH: phishing_mails/473 -> similarity=569.00, yara_score=0.00, total=569.00
MATCH: phishing_mails/474 -> similarity=939.00, yara_score=0.00, total=939.00
MATCH: phishing_mails/475 -> similarity=1347.00, yara_score=0.00, total=1347.00
NO MATCH: phishing_mails/476 -> similarity=451.00, yara_score=0.00, total=451.00
NO MATCH: phishing_mails/477 -> similarity=481.00, yara_score=0.00, total=481.00
NO MATCH: phishing_mails/478 -> similarity=487.00, yara_score=0.00, total=487.00
MATCH: phishing_mails/479 -> similarity=1127.00, yara_score=0.00, total=1127.00
MATCH: phishing_mails/480 -> similarity=1918.00, yara_score=0.00, total=1918.00
NO MATCH: phishing_mails/481 -> similarity=487.00, yara_score=0.00, total=487.00
MATCH: phishing_mails/482 -> similarity=916.00, yara_score=0.00, total=916.00
MATCH: phishing_mails/483 -> similarity=697.00, yara_score=0.00, total=697.00
MATCH: phishing_mails/484 -> similarity=1180.00, yara_score=0.00, total=1180.00
MATCH: phishing_mails/485 -> similarity=1329.00, yara_score=0.00, total=1329.00
MATCH: phishing_mails/486 -> similarity=760.00, yara_score=0.00, total=760.00
MATCH: phishing_mails/487 -> similarity=645.00, yara_score=0.00, total=645.00
MATCH: phishing_mails/488 -> similarity=4134.00, yara_score=0.00, total=4134.00
MATCH: phishing_mails/489 -> similarity=15467.00, yara_score=0.00, total=15467.00
MATCH: phishing_mails/490 -> similarity=949.00, yara_score=0.00, total=949.00
MATCH: phishing_mails/491 -> similarity=1357.00, yara_score=0.00, total=1357.00
MATCH: phishing_mails/492 -> similarity=12372.00, yara_score=0.00, total=12372.00
MATCH: phishing_mails/493 -> similarity=638.00, yara_score=0.00, total=638.00
NO MATCH: phishing_mails/494 -> similarity=435.00, yara_score=0.00, total=435.00
NO MATCH: phishing_mails/495 -> similarity=252.00, yara_score=0.00, total=252.00
MATCH: phishing_mails/496 -> similarity=732.00, yara_score=0.00, total=732.00
MATCH: phishing_mails/497 -> similarity=645.00, yara_score=0.00, total=645.00
NO MATCH: phishing_mails/498 -> similarity=376.00, yara_score=0.00, total=376.00
NO MATCH: phishing_mails/499 -> similarity=564.00, yara_score=0.00, total=564.00
MATCH: phishing_mails/500 -> similarity=1329.00, yara_score=0.00, total=1329.00
MATCH: phishing_mails/501 -> similarity=4165.00, yara_score=0.00, total=4165.00
MATCH: phishing_mails/502 -> similarity=1427.00, yara_score=0.00, total=1427.00
MATCH: phishing_mails/503 -> similarity=864.00, yara_score=0.00, total=864.00
MATCH: phishing_mails/504 -> similarity=1951.00, yara_score=0.00, total=1951.00
MATCH: phishing_mails/505 -> similarity=1146.00, yara_score=0.00, total=1146.00
MATCH: phishing_mails/506 -> similarity=876.00, yara_score=0.00, total=876.00
MATCH: phishing_mails/507 -> similarity=716.00, yara_score=0.00, total=716.00
NO MATCH: phishing_mails/508 -> similarity=606.00, yara_score=0.00, total=606.00
NO MATCH: phishing_mails/509 -> similarity=531.00, yara_score=0.00, total=531.00
MATCH: phishing_mails/510 -> similarity=755.00, yara_score=0.00, total=755.00
NO MATCH: phishing_mails/511 -> similarity=589.00, yara_score=0.00, total=589.00
MATCH: phishing_mails/512 -> similarity=1427.00, yara_score=0.00, total=1427.00
NO MATCH: phishing_mails/513 -> similarity=588.00, yara_score=0.00, total=588.00
NO MATCH: phishing_mails/514 -> similarity=493.00, yara_score=0.00, total=493.00
MATCH: phishing_mails/515 -> similarity=2085.00, yara_score=0.00, total=2085.00
MATCH: phishing_mails/516 -> similarity=4145.00, yara_score=0.00, total=4145.00
MATCH: phishing_mails/517 -> similarity=1458.00, yara_score=0.00, total=1458.00
MATCH: phishing_mails/518 -> similarity=827.00, yara_score=0.00, total=827.00
MATCH: phishing_mails/519 -> similarity=1981.00, yara_score=0.00, total=1981.00
MATCH: phishing_mails/520 -> similarity=912.00, yara_score=0.00, total=912.00
MATCH: phishing_mails/521 -> similarity=1048.00, yara_score=0.00, total=1048.00
MATCH: phishing_mails/522 -> similarity=1014.00, yara_score=0.00, total=1014.00
MATCH: phishing_mails/523 -> similarity=700.00, yara_score=0.00, total=700.00
MATCH: phishing_mails/524 -> similarity=1878.00, yara_score=0.00, total=1878.00
MATCH: phishing_mails/525 -> similarity=669.00, yara_score=0.00, total=669.00
NO MATCH: phishing_mails/526 -> similarity=435.00, yara_score=0.00, total=435.00
MATCH: phishing_mails/527 -> similarity=1062.00, yara_score=0.00, total=1062.00
MATCH: phishing_mails/528 -> similarity=662.00, yara_score=0.00, total=662.00
MATCH: phishing_mails/529 -> similarity=881.00, yara_score=0.00, total=881.00
MATCH: phishing_mails/530 -> similarity=2061.00, yara_score=0.00, total=2061.00
NO MATCH: phishing_mails/531 -> similarity=541.00, yara_score=0.00, total=541.00
MATCH: phishing_mails/532 -> similarity=9260.00, yara_score=0.00, total=9260.00
MATCH: phishing_mails/533 -> similarity=2116.00, yara_score=0.00, total=2116.00
NO MATCH: phishing_mails/534 -> similarity=542.00, yara_score=0.00, total=542.00
MATCH: phishing_mails/535 -> similarity=913.00, yara_score=0.00, total=913.00
NO MATCH: phishing_mails/536 -> similarity=268.00, yara_score=0.00, total=268.00
MATCH: phishing_mails/537 -> similarity=2154.00, yara_score=0.00, total=2154.00
NO MATCH: phishing_mails/538 -> similarity=430.00, yara_score=0.00, total=430.00
NO MATCH: phishing_mails/539 -> similarity=396.00, yara_score=0.00, total=396.00
MATCH: phishing_mails/540 -> similarity=632.00, yara_score=0.00, total=632.00
MATCH: phishing_mails/541 -> similarity=4101.00, yara_score=0.00, total=4101.00
MATCH: phishing_mails/542 -> similarity=940.00, yara_score=0.00, total=940.00
MATCH: phishing_mails/543 -> similarity=2048.00, yara_score=0.00, total=2048.00
MATCH: phishing_mails/544 -> similarity=794.00, yara_score=0.00, total=794.00
MATCH: phishing_mails/545 -> similarity=1105.00, yara_score=0.00, total=1105.00
NO MATCH: phishing_mails/546 -> similarity=574.00, yara_score=0.00, total=574.00
MATCH: phishing_mails/547 -> similarity=616.00, yara_score=0.00, total=616.00
MATCH: phishing_mails/548 -> similarity=819.00, yara_score=0.00, total=819.00
NO MATCH: phishing_mails/549 -> similarity=508.00, yara_score=0.00, total=508.00
MATCH: phishing_mails/550 -> similarity=1529.00, yara_score=0.00, total=1529.00
MATCH: phishing_mails/551 -> similarity=859.00, yara_score=0.00, total=859.00
NO MATCH: phishing_mails/552 -> similarity=499.00, yara_score=0.00, total=499.00
MATCH: phishing_mails/553 -> similarity=3255.00, yara_score=0.00, total=3255.00
MATCH: phishing_mails/554 -> similarity=4653.00, yara_score=0.00, total=4653.00
MATCH: phishing_mails/555 -> similarity=1722.00, yara_score=0.00, total=1722.00
NO MATCH: phishing_mails/556 -> similarity=549.00, yara_score=0.00, total=549.00
MATCH: phishing_mails/557 -> similarity=2029.00, yara_score=0.00, total=2029.00
MATCH: phishing_mails/558 -> similarity=667.00, yara_score=0.00, total=667.00
NO MATCH: phishing_mails/559 -> similarity=589.00, yara_score=0.00, total=589.00
MATCH: phishing_mails/560 -> similarity=1054.00, yara_score=0.00, total=1054.00
MATCH: phishing_mails/561 -> similarity=1160.00, yara_score=0.00, total=1160.00
MATCH: phishing_mails/562 -> similarity=1050.00, yara_score=0.00, total=1050.00
MATCH: phishing_mails/563 -> similarity=699.00, yara_score=0.00, total=699.00
NO MATCH: phishing_mails/564 -> similarity=514.00, yara_score=0.00, total=514.00
MATCH: phishing_mails/565 -> similarity=1632.00, yara_score=0.00, total=1632.00
MATCH: phishing_mails/566 -> similarity=806.00, yara_score=0.00, total=806.00
MATCH: phishing_mails/567 -> similarity=777.00, yara_score=0.00, total=777.00
MATCH: phishing_mails/568 -> similarity=780.00, yara_score=0.00, total=780.00
MATCH: phishing_mails/569 -> similarity=819.00, yara_score=0.00, total=819.00
MATCH: phishing_mails/570 -> similarity=860.00, yara_score=0.00, total=860.00
MATCH: phishing_mails/571 -> similarity=667.00, yara_score=0.00, total=667.00
MATCH: phishing_mails/572 -> similarity=1392.00, yara_score=0.00, total=1392.00
NO MATCH: phishing_mails/573 -> similarity=481.00, yara_score=0.00, total=481.00
NO MATCH: phishing_mails/574 -> similarity=245.00, yara_score=0.00, total=245.00
MATCH: phishing_mails/575 -> similarity=717.00, yara_score=0.00, total=717.00
MATCH: phishing_mails/576 -> similarity=1346.00, yara_score=0.00, total=1346.00
MATCH: phishing_mails/577 -> similarity=1351.00, yara_score=0.00, total=1351.00
NO MATCH: phishing_mails/578 -> similarity=364.00, yara_score=0.00, total=364.00
MATCH: phishing_mails/579 -> similarity=2015.00, yara_score=0.00, total=2015.00
MATCH: phishing_mails/580 -> similarity=959.00, yara_score=0.00, total=959.00
MATCH: phishing_mails/581 -> similarity=646.00, yara_score=0.00, total=646.00
NO MATCH: phishing_mails/582 -> similarity=504.00, yara_score=0.00, total=504.00
MATCH: phishing_mails/583 -> similarity=885.00, yara_score=0.00, total=885.00
MATCH: phishing_mails/584 -> similarity=1062.00, yara_score=0.00, total=1062.00
NO MATCH: phishing_mails/585 -> similarity=387.00, yara_score=0.00, total=387.00
MATCH: phishing_mails/586 -> similarity=2559.00, yara_score=0.00, total=2559.00
MATCH: phishing_mails/587 -> similarity=2748.00, yara_score=0.00, total=2748.00
MATCH: phishing_mails/588 -> similarity=662.00, yara_score=0.00, total=662.00
MATCH: phishing_mails/589 -> similarity=635.00, yara_score=0.00, total=635.00
MATCH: phishing_mails/590 -> similarity=1468.00, yara_score=0.00, total=1468.00
MATCH: phishing_mails/591 -> similarity=721.00, yara_score=0.00, total=721.00
MATCH: phishing_mails/592 -> similarity=774.00, yara_score=0.00, total=774.00
MATCH: phishing_mails/593 -> similarity=1019.00, yara_score=0.00, total=1019.00
MATCH: phishing_mails/594 -> similarity=1831.00, yara_score=0.00, total=1831.00
NO MATCH: phishing_mails/595 -> similarity=404.00, yara_score=0.00, total=404.00
MATCH: phishing_mails/596 -> similarity=669.00, yara_score=0.00, total=669.00
MATCH: phishing_mails/597 -> similarity=1250.00, yara_score=0.00, total=1250.00
MATCH: phishing_mails/598 -> similarity=1045.00, yara_score=0.00, total=1045.00
NO MATCH: phishing_mails/599 -> similarity=443.00, yara_score=0.00, total=443.00
MATCH: phishing_mails/600 -> similarity=656.00, yara_score=0.00, total=656.00
MATCH: phishing_mails/601 -> similarity=782.00, yara_score=0.00, total=782.00
MATCH: phishing_mails/602 -> similarity=3403.00, yara_score=0.00, total=3403.00
MATCH: phishing_mails/603 -> similarity=850.00, yara_score=0.00, total=850.00
MATCH: phishing_mails/604 -> similarity=1094.00, yara_score=0.00, total=1094.00
MATCH: phishing_mails/605 -> similarity=928.00, yara_score=0.00, total=928.00
NO MATCH: phishing_mails/606 -> similarity=459.00, yara_score=0.00, total=459.00
MATCH: phishing_mails/607 -> similarity=642.00, yara_score=0.00, total=642.00
NO MATCH: phishing_mails/608 -> similarity=441.00, yara_score=0.00, total=441.00
MATCH: phishing_mails/609 -> similarity=792.00, yara_score=0.00, total=792.00
MATCH: phishing_mails/610 -> similarity=981.00, yara_score=0.00, total=981.00
MATCH: phishing_mails/611 -> similarity=847.00, yara_score=0.00, total=847.00
MATCH: phishing_mails/612 -> similarity=2080.00, yara_score=0.00, total=2080.00
NO MATCH: phishing_mails/613 -> similarity=582.00, yara_score=0.00, total=582.00
MATCH: phishing_mails/614 -> similarity=916.00, yara_score=0.00, total=916.00
MATCH: phishing_mails/615 -> similarity=1465.00, yara_score=0.00, total=1465.00
MATCH: phishing_mails/616 -> similarity=738.00, yara_score=0.00, total=738.00
NO MATCH: phishing_mails/617 -> similarity=429.00, yara_score=0.00, total=429.00
MATCH: phishing_mails/618 -> similarity=1566.00, yara_score=0.00, total=1566.00
NO MATCH: phishing_mails/619 -> similarity=467.00, yara_score=0.00, total=467.00
MATCH: phishing_mails/620 -> similarity=919.00, yara_score=0.00, total=919.00
MATCH: phishing_mails/621 -> similarity=1072.00, yara_score=0.00, total=1072.00
NO MATCH: phishing_mails/622 -> similarity=570.00, yara_score=0.00, total=570.00
MATCH: phishing_mails/623 -> similarity=839.00, yara_score=0.00, total=839.00
MATCH: phishing_mails/624 -> similarity=1481.00, yara_score=0.00, total=1481.00
MATCH: phishing_mails/625 -> similarity=725.00, yara_score=0.00, total=725.00
MATCH: phishing_mails/626 -> similarity=813.00, yara_score=0.00, total=813.00
NO MATCH: phishing_mails/627 -> similarity=354.00, yara_score=0.00, total=354.00
NO MATCH: phishing_mails/628 -> similarity=381.00, yara_score=0.00, total=381.00
MATCH: phishing_mails/629 -> similarity=1067.00, yara_score=0.00, total=1067.00
MATCH: phishing_mails/630 -> similarity=662.00, yara_score=0.00, total=662.00
NO MATCH: phishing_mails/631 -> similarity=339.00, yara_score=0.00, total=339.00
NO MATCH: phishing_mails/632 -> similarity=437.00, yara_score=0.00, total=437.00
MATCH: phishing_mails/633 -> similarity=2900.00, yara_score=0.00, total=2900.00
MATCH: phishing_mails/634 -> similarity=726.00, yara_score=0.00, total=726.00
NO MATCH: phishing_mails/635 -> similarity=485.00, yara_score=0.00, total=485.00
MATCH: phishing_mails/636 -> similarity=1242.00, yara_score=0.00, total=1242.00
MATCH: phishing_mails/637 -> similarity=629.00, yara_score=0.00, total=629.00
MATCH: phishing_mails/638 -> similarity=1047.00, yara_score=0.00, total=1047.00
NO MATCH: phishing_mails/639 -> similarity=362.00, yara_score=0.00, total=362.00
MATCH: phishing_mails/640 -> similarity=1430.00, yara_score=0.00, total=1430.00
MATCH: phishing_mails/641 -> similarity=2021.00, yara_score=0.00, total=2021.00
MATCH: phishing_mails/642 -> similarity=1418.00, yara_score=0.00, total=1418.00
MATCH: phishing_mails/643 -> similarity=889.00, yara_score=0.00, total=889.00
NO MATCH: phishing_mails/644 -> similarity=356.00, yara_score=0.00, total=356.00
MATCH: phishing_mails/645 -> similarity=950.00, yara_score=0.00, total=950.00
MATCH: phishing_mails/646 -> similarity=2484.00, yara_score=0.00, total=2484.00
MATCH: phishing_mails/647 -> similarity=903.00, yara_score=0.00, total=903.00
MATCH: phishing_mails/648 -> similarity=1191.00, yara_score=0.00, total=1191.00
MATCH: phishing_mails/649 -> similarity=3537.00, yara_score=0.00, total=3537.00
NO MATCH: phishing_mails/650 -> similarity=501.00, yara_score=0.00, total=501.00
MATCH: phishing_mails/651 -> similarity=647.00, yara_score=0.00, total=647.00
MATCH: phishing_mails/652 -> similarity=696.00, yara_score=0.00, total=696.00
MATCH: phishing_mails/653 -> similarity=1601.00, yara_score=0.00, total=1601.00
MATCH: phishing_mails/654 -> similarity=1914.00, yara_score=0.00, total=1914.00
MATCH: phishing_mails/655 -> similarity=4106.00, yara_score=0.00, total=4106.00
MATCH: phishing_mails/656 -> similarity=3894.00, yara_score=0.00, total=3894.00
NO MATCH: phishing_mails/657 -> similarity=527.00, yara_score=0.00, total=527.00
MATCH: phishing_mails/658 -> similarity=1972.00, yara_score=0.00, total=1972.00
MATCH: phishing_mails/659 -> similarity=659.00, yara_score=0.00, total=659.00
MATCH: phishing_mails/660 -> similarity=913.00, yara_score=0.00, total=913.00
MATCH: phishing_mails/661 -> similarity=1694.00, yara_score=0.00, total=1694.00
MATCH: phishing_mails/662 -> similarity=1797.00, yara_score=0.00, total=1797.00
MATCH: phishing_mails/663 -> similarity=1350.00, yara_score=0.00, total=1350.00
MATCH: phishing_mails/664 -> similarity=2122.00, yara_score=0.00, total=2122.00
MATCH: phishing_mails/665 -> similarity=906.00, yara_score=0.00, total=906.00
MATCH: phishing_mails/666 -> similarity=2012.00, yara_score=0.00, total=2012.00
MATCH: phishing_mails/667 -> similarity=1440.00, yara_score=0.00, total=1440.00
MATCH: phishing_mails/668 -> similarity=8115.00, yara_score=0.00, total=8115.00
NO MATCH: phishing_mails/669 -> similarity=398.00, yara_score=0.00, total=398.00
MATCH: phishing_mails/670 -> similarity=1155.00, yara_score=0.00, total=1155.00
MATCH: phishing_mails/671 -> similarity=1228.00, yara_score=0.00, total=1228.00
MATCH: phishing_mails/672 -> similarity=7939.00, yara_score=0.00, total=7939.00
MATCH: phishing_mails/673 -> similarity=959.00, yara_score=0.00, total=959.00
MATCH: phishing_mails/674 -> similarity=880.00, yara_score=0.00, total=880.00
NO MATCH: phishing_mails/675 -> similarity=459.00, yara_score=0.00, total=459.00
NO MATCH: phishing_mails/676 -> similarity=560.00, yara_score=0.00, total=560.00
NO MATCH: phishing_mails/677 -> similarity=489.00, yara_score=0.00, total=489.00
NO MATCH: phishing_mails/678 -> similarity=493.00, yara_score=0.00, total=493.00
MATCH: phishing_mails/679 -> similarity=1535.00, yara_score=0.00, total=1535.00
MATCH: phishing_mails/680 -> similarity=777.00, yara_score=0.00, total=777.00
MATCH: phishing_mails/681 -> similarity=2046.00, yara_score=0.00, total=2046.00
MATCH: phishing_mails/682 -> similarity=2096.00, yara_score=0.00, total=2096.00
NO MATCH: phishing_mails/683 -> similarity=570.00, yara_score=0.00, total=570.00
MATCH: phishing_mails/684 -> similarity=2518.00, yara_score=0.00, total=2518.00
MATCH: phishing_mails/685 -> similarity=800.00, yara_score=0.00, total=800.00
MATCH: phishing_mails/686 -> similarity=2173.00, yara_score=0.00, total=2173.00
MATCH: phishing_mails/687 -> similarity=6552.00, yara_score=0.00, total=6552.00
MATCH: phishing_mails/688 -> similarity=2818.00, yara_score=0.00, total=2818.00
MATCH: phishing_mails/689 -> similarity=5487.00, yara_score=0.00, total=5487.00
MATCH: phishing_mails/690 -> similarity=1378.00, yara_score=0.00, total=1378.00
